village_name,mandal_name,lat,lon,district_name,bore_well_count
05-PULIGADDA,Avanigadda,16.039355780676694,80.90392342360903,Krishna,133
05-VANUKURU,Penamaluru,16.437079980163936,80.73287638678688,Krishna,305
06-BALLIPARRU,Gannavaram,16.593438916249998,80.840408418125,Krishna,48
06-BOMMULURU,Bapulapadu,16.656260709384615,80.99117603476923,Krishna,65
06-BUDAVADA,Jaggayyapeta,16.88387778534351,80.03360378984732,Krishna,131
06-CHAGANTIPADU,Unguturu,16.478169990465116,80.85553026790697,Krishna,43
06-CHANDRAGUDEM,Mylavaram,16.799938851022496,80.6257175888548,Krishna,489
06-CHENNAVARAM,Gampalagudem,17.006258161578945,80.47312511210527,Krishna,38
06-CHERUKUPALEM,Nandigama,16.777381974814816,80.17856722185185,Krishna,27
06-CHINA LINGALA,Nandivada,16.53415667,80.93144,Krishna,1
06-CHINANANDIGAMA,G Konduru,16.729109859171597,80.65807021781065,Krishna,169
06-CHIRI CHINTALA,Gudivada,16.384465926666664,81.01785925888889,Krishna,9
06-CHITOORU,Ghantasala,16.16864057,80.9967099225,Krishna,4
06-CHOPPARAMETLA,Agiripalle,16.683144143412697,80.8156363061111,Krishna,126
06-CHORAGUDI,Pamidimukkala,16.23519596853211,80.87425572486238,Krishna,109
06-CHOUTAPLLI,Tiruvuru,17.04067418648485,80.60405484666667,Krishna,165
06-DASAVARAM,Veerullapadu,16.769661416944444,80.40318504222222,Krishna,36
06-DESUPALEM,Vatsavai,16.94665014478261,80.12034108673913,Krishna,46
06-DEVARAPALLI,Thotlavalluru,16.29522658131291,80.81056641249452,Krishna,457
06-G V PALEM,Chandarlapadu,16.73047389,80.23159222,Krishna,3
06-GANDIGUNTA,Vuyyuru,16.379693578930482,80.83933286631016,Krishna,187
06-GGUNNACHINTALAPADU,A Konduru,17.0273802924,80.6125916784,Krishna,25
06-GOLLAPALLI,Nuzvid,16.72300991385768,80.90604263801498,Krishna,267
06-GUDIPADU,Chatrai,16.96139122146154,80.89812278846154,Krishna,130
06-GUDIPADU,Musunuru,16.87237556619863,80.96304831287671,Krishna,292
06-Gudapadu,Movva,16.21999901,80.89598357,Krishna,53
06-JAGANNADHAPURAM,Kankipadu,16.461738513500002,80.79899604350001,Krishna,20
06-JIJJAVARAM,Pamarru,16.306267222,80.99665288733333,Krishna,15
06-JUPUDI,Ibrahimpatnam,16.594526915315317,80.48746715297298,Krishna,111
06-KATERENIPADU,Musunuru,16.787269662421227,80.94062184525704,Krishna,603
06-KLAGARA,Vissannapet,17.009224475421686,80.76823765981928,Krishna,332
06-KUNAPARAPARVA,Reddigudem,16.906711442597402,80.73247508779221,Krishna,77
06-M.M.LANKA,Mopidevi,16.060703931392403,80.96256708683543,Krishna,158
06-MEKA VARI PALEM,Challapalli,16.120036621489362,80.90928130531915,Krishna,47
06-MUCHINTALA,Penuganchiprolu,16.910664983768115,80.2696488884058,Krishna,69
06-MUKTYALA,Jaggayyapeta,16.83087160117647,80.08159989627451,Krishna,51
06-MUNAGACHERLA,Nandigama,16.79824786952381,80.2594312457143,Krishna,21
06-RAMA KOTI PURAM,Avanigadda,16.026858013333335,80.93533657416667,Krishna,12
06-RAMAVARAPPADU,Vijayawada Rural,16.5322029632,80.68426930746666,Krishna,75
07-BUDHAVARAM,Gannavaram,16.5290617334375,80.809524330625,Krishna,32
07-CHIKKINALA,Unguturu,16.46214285410959,80.84780461164382,Krishna,73
07-CHINACOMIRA,Gampalagudem,16.99795987,80.5207746,Krishna,1
07-CHITOORUPU,Ghantasala,16.153435182293578,80.9187882238532,Krishna,109
07-CHOWTAPALLI,Gudivada,16.431209145714284,81.03881300714285,Krishna,7
07-DAMULURU,Nandigama,16.827829758727272,80.36666727000001,Krishna,55
07-DASULLAPALEM,Mylavaram,16.82513024088889,80.61712995366666,Krishna,180
07-DESANNAPALEM,Pamidimukkala,16.265576332000002,80.88378,Krishna,5
07-DHARMALAPADU,Jaggayyapeta,16.877273618636366,80.13615283136363,Krishna,66
07-DUGGIRALAPADU,G Konduru,16.75543223107438,80.51124593669422,Krishna,121
07-EDARA,Agiripalle,16.739136486766917,80.75653449932331,Krishna,133
07-EDURAMADDALI,Pedaparupudi,16.407667217974684,80.94359032645569,Krishna,79
07-ERRAMADU,Tiruvuru,17.06733903787879,80.51381188636363,Krishna,33
07-GANGAVALLI,Vatsavai,16.97319132375,80.209646169375,Krishna,16
07-GARIKIPARRU,Thotlavalluru,16.352306910784314,80.8317698414379,Krishna,153
07-GUDIMETLA,Chandarlapadu,16.73734019330357,80.15623983616071,Krishna,112
07-GULLAPUDI,Musunuru,16.88052125698276,80.96355054586208,Krishna,116
07-G_MADHAVARAM,Veerullapadu,16.782043829326923,80.48281255798078,Krishna,104
07-H M GUDEM,Nuzvid,16.85311049423729,80.8310382338983,Krishna,118
07-JABARLAPUDI,Vuyyuru,16.395982654999997,80.91060414277779,Krishna,36
07-JANARDHANAVARAM,Chatrai,16.964834139407667,80.87186559881533,Krishna,287
07-K.LOCK,Kankipadu,16.463375420689655,80.80534394896551,Krishna,29
07-KACHAVARAM,Ibrahimpatnam,16.628211771875,80.439133333125,Krishna,16
07-KANCHRLAVANI PURAM,Pamarru,16.31517665,80.98063051166667,Krishna,6
07-KEESARA,Kanchika Cherla,16.717338465,80.32367068583333,Krishna,24
07-KODURU,A Konduru,17.00261828039443,80.62347821183295,Krishna,431
07-KONDAPARVA,Vissannapet,16.906794959367947,80.8280290447404,Krishna,443
07-KORLAGUNTA,Musunuru,16.807457760903613,80.905479985,Krishna,166
